Dodecanoic acid,exogenous compound
3-Hydroxydecanoic acid,endogenous compound
Cortisone,endogenous compound
Benzaldehyde,exogenous compound
Caryophyllene alpha-oxide,exogenous compound
Alpha-dimorphecolic acid,endogenous compound
Androsterone sulfate,endogenous compound
Dehydroepiandrosterone sulfate,endogenous compound
Mesylate,exogenous compound
Sphingosine 1-phosphate,endogenous compound
indolin-2-one,exogenous compound
Succinic acid,endogenous compound
O-Acetylcarnitine,endogenous compound
DL-Tryptophan,endogenous compound
4-Hydroxybenzoic acid,exogenous compound
L-Methionine,endogenous compound
D-Proline,endogenous compound
L-Lysine,endogenous compound
L-Valine,endogenous compound
Indole-3-carboxaldehyde,exogenous compound
L-Phenylalanine,endogenous compound
Hippuric acid,endogenous compound
Decanoylcarnitine,endogenous compound
Hypoxanthine,endogenous compound
Adenosine monophosphate (AMP),endogenous compound
L-Pyroglutamic acid,endogenous compound
Jasmonic acid,endogenous compound
Alpha-N-Phenylacetyl-L-glutamine,endogenous compound
Thromboxane B3,endogenous compound
Ursodeoxycholic acid,endogenous compound
"Polypropylene glycol (m w 1,200-3,000)",exogenous compound
Biliverdin,endogenous compound
N6-Methyladenosine,endogenous compound
1-Methyl-L-Histidine,endogenous compound
Gingerol,exogenous compound
Dodecanoylcarnitine,endogenous compound
Hydrocortisone,exogenous compound
20-Hydroxyeicosatetraenoic acid,endogenous compound
"1,2,3-Trihydroxybenzene",exogenous compound
L-Norleucine,endogenous compound
3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid,endogenous compound
D-Pantothenic acid,endogenous compound
L-Serine,endogenous compound
D-Glutamine,endogenous compound
L-Alanine,endogenous compound
Hyodeoxycholic acid,endogenous compound
piperine,exogenous compound
Indolelactic acid,endogenous compound
D(+)-Pipecolinic acid,endogenous compound
L-Palmitoylcarnitine,endogenous compound
Creatinine,endogenous compound
Acetaminophen,exogenous compound
Palmitoylethanolamide,endogenous compound
L-Pipecolic acid,endogenous compound
4-Trimethylammoniobutanoic acid,endogenous compound
Gallic acid,exogenous compound
DL-Phenylalanine,endogenous compound
L-Lactic acid,endogenous compound
Pyrrolidine,endogenous compound
Hexadecanedioic acid,endogenous compound
(R)-3-Hydroxy-tetradecanoic acid,endogenous compound
4-Hydroxybenzaldehyde,exogenous compound
N1-Methyl-2-pyridone-5-carboxamide,exogenous compound
Perillic acid,exogenous compound
L-Tyrosine,endogenous compound
Theophylline,exogenous compound
Propionylcarnitine,endogenous compound
2-acetyl-1-alkyl-sn-glycero-3-phosphocholine,endogenous compound
3-Hydroxybenzyl alcohol,exogenous compound
D-Aspartic acid,endogenous compound
"17-phenyl-18,19,20-trinor-prostaglandin E2",endogenous compound
2-Methylbutyroylcarnitine,endogenous compound
Gentisaldehyde,exogenous compound
3-Phenylpropionic acid,exogenous compound
4-Dodecylbenzenesulfonic Acid,exogenous compound
L-Histidine,endogenous compound
FAHFA(18:2/18:1),endogenous compound
3-Indoleacrylic acid,exogenous compound
L-Carnitine,endogenous compound
FAHFA(16:0/22:3),endogenous compound
Estrone-3-glucuronide,endogenous compound
FAHFA(18:1/18:0),endogenous compound
5-Hydroxyhexanoic acid,endogenous compound
ACar(18:1),endogenous compound
1-Methylhypoxanthine,endogenous compound
LPE(18:0),endogenous compound
LPE(20:3),endogenous compound
FAHFA(16:1/22:3),endogenous compound
ACar(12:0),endogenous compound
LPG(18:1),endogenous compound
ACar(8:1),endogenous compound
Nor-Desoxycholic acid,endogenous compound
Glycohyocholic acid,endogenous compound
LPE(16:0),endogenous compound
ACar(14:1),endogenous compound
ACar(8:0),endogenous compound
LPE(16:1),endogenous compound
Pantothenol,endogenous compound
LysoPC(10:0),endogenous compound
